,OrderId,Companhia,Secao,Tipo_Questao,Nota,Motivo_Selecionado,Comentario,Grupo_Motivo,Classificacao_NPS
5471,2655294,HelpS - Santander,Funilaria Porta Traseira Esquerda,Carglass,5,Atraso na liberação do atendimento,"EM contato com Diego, informou que eram 3 reparos e só autorizou 2 por conta do valor alto e ultrapassou a cobertura. Autorizaram a porta errada e acabou demorando a liberação do serviço. ",Liberação,Detrator
5472,2585956,Bradesco Seguros,Lanterna Traseira Esquerda/Motorista Led,Carglass,7,A experiência com atendimento e serviço prestado agradou o cliente,Boa ,Qualidade do atendimento,Neutro
5473,2588580,Azul Seguros,Funilaria Para-Choque Dianteiro,Carglass,7,Qualidade ou problemas/dificuldade com site para abertura do atendimento,Acredito que economizaram verniz em algumas partes da peça.,Abertura do atendimento,Neutro
5474,2714842,Azul Seguros,Funilaria Para-Choque Traseiro,Carglass,8,A experiência com atendimento e serviço prestado agradou o cliente,"Em contato com Anaxmandro, ele informou que deu nota 8 porque sempre tem o que melhorar, mas não indicou pontos.",Qualidade do atendimento,Neutro
5475,2600990,Reparo Rápido Chevrolet,Under Car,Carglass,8,Demora/Divergência de informações no momento do atendimento,"O cliente Alberto informa que não teve suas expectavas atendidas; primeiro, foi informado de que a homo cinética não fazia parte da suspensão e teve que pagar à parte, quando sempre que pesquisou era informado de que fazia parte. O retorno no atendimento é muito lento.",Liberação,Neutro
5476,2710904,Porto Seguro,Funilaria Para-lama Dianteiro Esquerdo,Carglass,8,Problemas/Dificuldade com links de atendimento,Nao estava funcionando o link de agendamento que fora enviado ,Mensageria,Neutro
5478,2613186,HelpS - Santander,Funilaria Capô,Carglass,8,A experiência com atendimento e serviço prestado agradou o cliente,O cliente Vandeilson ficou satisfeito e não teve problemas.,Qualidade do atendimento,Neutro
5481,2685720,Bradesco Seguros,Funilaria Tampa traseira,Carglass,7,Demora para agendamento,Só conseguir agendar para 15 dias ,Liberação,Neutro
5482,2685150,Arval,Parabrisa,Carglass,8,A experiência com atendimento e serviço prestado agradou o cliente,Cliente ressalta que atenderam ele da melhor maneira possível. ,Qualidade do atendimento,Neutro
5483,2684743,Bradesco Seguros,Teto,Carglass,7,Falta de contato/ Falha No Acompanhamento com o cliente,"No início da solicitação, achei super intuitivo, notificaram com link para fazer agendamento, fiz o agendamento para dia 05/05, na loja não constava liberado, liguei várias vezes para no final da tarde finalmente conseguir, me chatiatiaram bastante! No dia do meu aniversário!",Liberação,Neutro
5484,2681696,Arval,Parabrisa,Carglass,8,Atraso na liberação do atendimento,"Cliente ressalta que quando chegou lá na loja, ainda não tinha chegado a peça.",Liberação,Neutro
5485,2634365,Seguros Sura,Lanterna Traseira Direita/Passageiro,Carglass,8,Demora/Divergência de informações no momento do atendimento,"A cliente Alessandra informa que achou o atendimento bagunçado, pois começou a receber mensagens da Carglass, e não sabia do que se tratava, achou que todo o atendimento seria conduzido pela Leaseplan, precisou entrar em contato com eles para ser informada, ficou desconfiada, e houve demora para começar a receber as mensagens.",Liberação,Neutro
5486,2676836,HelpS - Santander,Funilaria Capô,Carglass,7,Rapidez no atendimento e serviço prestado,O serviço prestado pela empresa parceira   não é de boa qualidade! Faltou informações e muita demora em relação ao serviço prestado. Não entregou na data determinada que já foi bastante demorada.,Qualidade do atendimento,Neutro
5489,2673129,Bradesco Seguros,Parabrisa,Carglass,8,A experiência com atendimento e serviço prestado agradou o cliente,"Em contato com Adalberto, informou que gostou do atendimento.",Qualidade do atendimento,Neutro
5490,2641877,VW Protege,Funilaria Para-lama Traseiro Direito,Carglass,8,Demora/ Dificuldade de contato com a central de atendimento,"Em contato com Marcos, informou que ficou satisfeito com o atendimento, mais  o contato com a Central de relacionamento é difícil. Falou que o numero da central que mandaram no WhatsApp esta errado, ele só conseguiu falar quando pegou o contato no boleto.  ",Abertura do atendimento,Neutro
5492,2642347,Bradesco Seguros,Funilaria Para-lama Dianteiro Esquerdo,Carglass,7,Falta de contato/ Falha No Acompanhamento com o cliente,Nao fui informado quando o serviço estava pronto.,Liberação,Neutro
5493,2644763,ALD Comfort,Parabrisa,Carglass,8,Atraso na liberação do atendimento,"cliente informa que teve dificuldade na abertura devido a inconsistências de sistema, o que causo atraso na liberação. ",Liberação,Neutro
5494,2667498,Ezze Seguros,Parabrisa,Carglass,8,Atraso na liberação do atendimento,"O responsável Cristiano informa que desde o momento da abertura do atendimento até a realização do serviço, demorou um pouco, mas foi rápido após a realização da vistoria.",Liberação,Neutro
5495,2647784,Azul Seguros,Funilaria Porta Dianteira Direita,Carglass,8,A experiência com atendimento e serviço prestado agradou o cliente,"Em contato com Luiz, informou que não teve dificuldades e deu tudo certo. ",Qualidade do atendimento,Neutro
5496,2649243,Leaseplan,Parabrisa,Carglass,8,A experiência com atendimento e serviço prestado agradou o cliente,O cliente Thiago não teve problemas.,Qualidade do atendimento,Neutro
5499,2659583,Seguros Sura,Parabrisa,Carglass,8,Cliente ressaltou rapidez no atendimento e serviço prestado,"cliente informa que no inicio foi um pouco complicado pois nao sabia como fazer, mas depois que o ensinaram foi rápido e sem problemas. ",Qualidade do atendimento,Neutro
5500,2656980,Arval,Parabrisa,Carglass,8,A experiência com atendimento e serviço prestado agradou o cliente,"O cliente Welington achou o atendimento tranquilo, não teve problemas, foi tudo no horário.",Qualidade do atendimento,Neutro
5505,2586758,Bradesco Seguros,Funilaria Para-lama Dianteiro Esquerdo,Carglass,10,Rapidez no atendimento e serviço prestado,As minhas solicitações foram atendidas de forma rápida e tranquila. Correr tudo bem!,Qualidade do atendimento,Promotor
5507,2729558,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral," Em contato com o cliente informou que foi bem atendido.
",Qualidade do atendimento,Promotor
5508,2588476,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,cliente ressalta rapidez e o pronto atendimento. ,Qualidade do atendimento,Promotor
5510,2590279,Bradesco Seguros,Funilaria Para-Choque Dianteiro,Carglass,9,Rapidez e facilidade para abertura do atendimento,Foi muito fácil abrir o atendimento e modificar quando precisei,Abertura do atendimento,Promotor
5512,2593100,Bradesco Seguros,Funilaria Para-lama Traseiro Esquerdo,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,cliente informa que nao teve nenhum problema.,Qualidade do atendimento,Promotor
5513,2720416,PSA,Funilaria Para-lama Dianteiro Esquerdo,Carglass,10,Qualidade do atendimento em geral,"Rápido, serviço ótimo",Qualidade do atendimento,Promotor
5518,2595392,Bradesco Seguros,Lanterna Traseira Esquerda/Motorista,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,cliente ressalta rapidez e deu tudo certo. ,Qualidade do atendimento,Promotor
5519,2595394,Bradesco Seguros,Lanterna Traseira Direita/Passageiro,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,cliente ressalta rapidez e deu tudo certo. ,Qualidade do atendimento,Promotor
5522,2716604,Bradesco Seguros,Vigia,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,Em contato com José ( esposo)ele informou que gostou da agilidade.,Qualidade do atendimento,Promotor
5523,2716205,HelpS - Santander,Funilaria Capô,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Excelente atendimento do  prestador e do banco. ,Qualidade do atendimento,Promotor
5526,2715281,ALD Comfort,Retrovisor Esquerdo/Motorista,Carglass,10,Qualidade do atendimento em geral,"Em contato com o cliente informou que , o atendimento foi excelente .
",Qualidade do atendimento,Promotor
5527,2597443,Bradesco Seguros,Funilaria Para-Choque Dianteiro,Carglass,10,Qualidade do atendimento em geral,Serviço rápido e perfeito ,Qualidade do atendimento,Promotor
5528,2597723,Porto Seguro,Funilaria Tampa traseira,Carglass,10,Qualidade do atendimento em geral,Fui atendido plenamente conforme solicitado e abertura do chamdo,Qualidade do atendimento,Promotor
5529,2714958,Bradesco Seguros,Funilaria Porta Dianteira Direita,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Já fiz uso outras vezes e recomendo os serviços prestados pelo. Logista,Qualidade do atendimento,Promotor
5531,2714115,ALD Automotive,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"Em contato com Hebert, ele informou que gostou do atendimento e da rapidez.",Qualidade do atendimento,Promotor
5532,2714101,HelpS - Santander,Funilaria Porta Dianteira Direita,Carglass,10,Qualidade do atendimento – telefonia e agendamento,Serviço de ótima qualidade e cumpre o que promete ,Liberação,Promotor
5535,2712325,Azul Seguros,Funilaria Porta Dianteira Esquerda,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Superou as minhas expectativas ,Qualidade do atendimento,Promotor
5537,2601569,Bradesco Seguros,Parabrisa,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Tudo certo com abertura do atendimento .,Qualidade do atendimento,Promotor
5539,2710909,VW Protege,Funilaria Para-Choque Traseiro,Volkswagen,10,A experiência com atendimento e serviço prestado,Serviço de excelência ,Qualidade do atendimento,Promotor
5540,2602025,ALD Automotive,Parabrisa,Carglass,9,Qualidade do atendimento em geral,"Apenas achei o prazo entre a solicitação do serviço e a execução, um pouco longa.
Mas aí não sei se seria um ponto a ser analisado pela carglass.",Qualidade do atendimento,Promotor
5545,2709121,HelpS - Santander,Funilaria Tampa traseira,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,"Agilidade no atendimento, serviço impecável.",Qualidade do atendimento,Promotor
5547,2605338,Bradesco Seguros,Funilaria Para-lama Traseiro Direito,Carglass,10,Qualidade do atendimento em geral,cliente ressalta a facilidade na abertura e o bom retorno. Gostou de todo o processo,Qualidade do atendimento,Promotor
5548,2605348,Bradesco Seguros,Porta Traseira Direita/Passageiro,Carglass,10,Qualidade do atendimento em geral,Cliente ressaltou que o processo está bem mapeado e o retorno foi muito bom.,Qualidade do atendimento,Promotor
5549,2605489,Bradesco Seguros,Funilaria Porta Traseira Direita,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Serviço bem feito e no prazo estabelecido. ,Qualidade do atendimento,Promotor
5550,2605767,Azul Seguros,Funilaria Para-lama Traseiro Direito,Carglass,10,Qualidade do atendimento em geral,Excelente ,Qualidade do atendimento,Promotor
5552,2606776,Bradesco Seguros,Funilaria Para-lama Traseiro Direito,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"cliente ressalta rapidez, tranquilidade e precisão na abertura o atendimento. ",Qualidade do atendimento,Promotor
5553,2607012,Ezze Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"cliente ressalta bom atendimento, rapidez e segurança nas informações. ",Qualidade do atendimento,Promotor
5554,2607340,Azul Seguros,Funilaria Para-Choque Traseiro Esquerdo/Motorista,Carglass,10,Rapidez no atendimento e serviço prestado,O serviço ficou ótimo .,Qualidade do atendimento,Promotor
5555,2607528,Porto Seguro,Funilaria Para-Choque Traseiro,Carglass,10,Qualidade do atendimento em geral,Excelente ,Qualidade do atendimento,Promotor
5556,2704942,Azul Seguros,Funilaria Capô,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Ótimo ,Qualidade do atendimento,Promotor
5557,2607859,Porto Seguro,Funilaria Para-Choque Dianteiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,muito bom desde a marcação até o acompanhamento da finalização do serviço,Qualidade do atendimento,Promotor
5558,2704711,Porto Seguro,Funilaria Porta Traseira Esquerda,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Gostei muito do trabalho realizado.,Qualidade do atendimento,Promotor
5560,2608746,Bradesco Seguros,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,"O responsável Leandro gostou da agilidade no atendimento, com um pessoal bem treinado para indicação e informações corretas.",Qualidade do atendimento,Promotor
5561,2609199,Seguros Sura,Vigia,Carglass,10,Qualidade do atendimento em geral,O cliente Itamar achou o atendimento muito bom.,Qualidade do atendimento,Promotor
5562,2703235,Bradesco Seguros,Funilaria Para-lama Dianteiro Direito,Carglass,10,Qualidade do atendimento em geral,"trabalho perfeito, atendentes gentid",Qualidade do atendimento,Promotor
5563,2609551,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,O cliente Vinicius achou o atendimento bom.,Qualidade do atendimento,Promotor
5567,2700268,Porto Seguro,Funilaria Porta Dianteira Direita,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,RAPIDEZ ,Qualidade do atendimento,Promotor
5568,2612228,Azul Seguros,Porta Dianteira Esquerda/Motorista,Carglass,9,Rapidez e facilidade para abertura do atendimento,"Muito bem atendido, rápido, serviço da oficina perfeito!",Abertura do atendimento,Promotor
5569,2699612,Porto Seguro,Funilaria Porta Traseira Esquerda,Carglass,10,Qualidade do atendimento em geral,Ótimo serviço ,Qualidade do atendimento,Promotor
5571,2696549,Bradesco Seguros,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com JOSE,  informou que o atendimento foi show de bola.",Qualidade do atendimento,Promotor
5572,2696277,Porto Seguro,Funilaria Para-Choque Dianteiro,Carglass,10,Qualidade do atendimento em geral,Bom serviço e entrega rápida!,Qualidade do atendimento,Promotor
5575,2616811,HelpS - Santander,Funilaria Porta Traseira Direita,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,Foi bem rápido ,Qualidade do atendimento,Promotor
5576,2695162,Porto Seguro,Funilaria Para-Choque Dianteiro,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,Atendimento rápido e atendente educada solicita. ,Qualidade do atendimento,Promotor
5578,2618532,Bradesco Seguros,Parabrisa,Carglass,9,Qualidade do atendimento em geral,Ok,Qualidade do atendimento,Promotor
5579,2618750,Seguros Sura,Parabrisa,Carglass,10,Cliente ressaltou rapidez no atendimento e serviço prestado,cliente ressalta rapidez. ,Qualidade do atendimento,Promotor
5580,2693848,ALD Comfort,Parabrisa,Carglass,10,Qualidade do atendimento em geral,"Em contato com Jamsoon, ele informou que foi muito bem atendido.",Qualidade do atendimento,Promotor
5582,2693549,Bradesco Seguros,Vidro Lateral Esquerdo/Motorista,Carglass,10,A experiência com atendimento e serviço prestado agradou o cliente,As vezes que precisei repor peças no meu veículo foi rápido ,Qualidade do atendimento,Promotor
5583,2693253,ALD Comfort,Lente de Retrovisor Esquerdo/Motorista,Carglass,9,Qualidade do atendimento em geral,"Em contato com cliente informou que, tempo de resposta é demorado  devido  ao  sistema na hora na confirmar  ,e sobre o  procedimento tinha que ser mais ágil, mais que deu tudo  certo . ",Qualidade do atendimento,Promotor
